(2, 1<<1^1, [2])
(3, 1<<2^1, [2])
(129, 11<<125^1, [6, 2])
(130, 5<<127^1, [3, 7])
(131, 11<<127^1, [6, 2])
(132, 81<<125^1, [10, 2])
(133, 21<<128^1, [10, 2])
(134, 21<<129^1, [10, 2])
(135, 111<<128^1, [10, 2])
(136, 65<<129^1, [6, 2])
(137, 295<<128^1, [6, 2])
(138, 9<<134^1, [10, 2])
(139, 53<<133^1, [6, 2])
(140, 247<<132^1, [6, 2])
(141, 67<<134^1, [6, 2])
(142, 147<<134^1, [22, 2])
(143, 225<<135^1, [22, 2])
(144, 111<<137^1, [10, 2])
(145, 31<<140^1, [6, 2])
(146, 219<<138^1, [10, 2])
(147, 355<<138^1, [6, 2])
(148, 29<<143^1, [6, 2])
(149, 141<<141^1, [10, 2])
(150, 43<<144^1, [6, 2])
(151, 249<<143^1, [10, 2])
(152, 17<<147^1, [3, 3])
(153, 35<<147^1, [6, 2])
(154, 175<<146^1, [6, 2])
(155, 81<<148^1, [10, 2])
(156, 163<<148^1, [6, 2])
(157, 191<<149^1, [6, 2])
(158, 65<<151^1, [6, 2])
(159, 63<<153^1, [10, 2])
(160, 315<<151^1, [26, 2])
(161, 131<<153^1, [6, 2])
(162, 105<<155^1, [22, 2])
(163, 117<<156^1, [10, 2])
(164, 43<<158^1, [6, 2])
(165, 183<<157^1, [10, 2])
(166, 9<<162^1, [10, 2])
(167, 225<<159^1, [26, 2])
(168, 141<<160^1, [10, 2])
(169, 99<<162^1, [10, 2])
(170, 75<<163^1, [22, 2])
(171, 93<<164^1, [26, 2])
(172, 15<<168^1, [22, 2])
(173, 131<<165^1, [6, 2])
(174, 61<<168^1, [6, 2])
(175, 91<<168^1, [6, 2])
(176, 165<<168^1, [14, 2])
(177, 7<<174^1, [6, 2])
(178, 177<<170^1, [22, 2])
(179, 207<<171^1, [10, 2])
(180, 27<<175^1, [10, 2])
(181, 51<<175^1, [14, 2])
(182, 95<<175^1, [6, 2])
(183, 7<<180^1, [6, 2])
(184, 347<<175^1, [6, 2])
(185, 333<<176^1, [14, 2])
(186, 299<<177^1, [6, 2])
(187, 127<<180^1, [6, 2])
(188, 83<<181^1, [6, 2])
(189, 25<<184^1, [6, 2])
(190, 29<<185^1, [6, 2])
(191, 3<<189^1, [10, 2])
(192, 13<<188^1, [6, 2])
(193, 7<<190^1, [6, 2])
(194, 187<<186^1, [6, 2])
(195, 45<<189^1, [22, 2])
(196, 57<<190^1, [14, 2])
(197, 617<<187^1, [6, 2])
(198, 159<<190^1, [10, 2])
(199, 149<<191^1, [6, 2])
(200, 111<<193^1, [10, 2])
(201, 183<<193^1, [10, 2])
(202, 163<<194^1, [6, 2])
(203, 3<<201^1, [10, 2])
(204, 261<<195^1, [14, 2])
(205, 203<<197^1, [6, 2])
(206, 45<<200^1, [14, 2])
(207, 85<<200^1, [6, 2])
(208, 181<<200^1, [6, 2])
(209, 191<<201^1, [6, 2])
(210, 9<<206^1, [10, 2])
(211, 3<<209^1, [5, 7])
(212, 65<<205^1, [6, 2])
(213, 11<<209^1, [6, 2])
(214, 21<<209^1, [10, 2])
(215, 9<<211^1, [10, 2])
(216, 275<<207^1, [6, 2])
(217, 261<<208^1, [10, 2])
(218, 99<<211^1, [10, 2])
(219, 73<<212^1, [6, 2])
(220, 27<<215^1, [10, 2])
(221, 31<<216^1, [6, 2])
(222, 105<<215^1, [22, 2])
(223, 505<<214^1, [6, 2])
(224, 183<<216^1, [26, 2])
(225, 615<<215^1, [22, 2])
(226, 55<<220^1, [6, 2])
(227, 279<<218^1, [10, 2])
(228, 381<<219^1, [22, 2])
(229, 75<<222^1, [14, 2])
(230, 395<<221^1, [6, 2])
(231, 245<<223^1, [6, 2])
(232, 351<<223^1, [14, 2])
(233, 15<<229^1, [14, 3])
(234, 63<<228^1, [34, 2])
(235, 115<<228^1, [6, 2])
(236, 29<<231^1, [3, 3])
(237, 25<<232^1, [6, 2])
(238, 195<<230^1, [34, 2])
(239, 207<<231^1, [10, 2])
(240, 83<<233^1, [6, 2])
(241, 285<<232^1, [22, 2])
(242, 37<<236^1, [6, 2])
(243, 67<<236^1, [6, 2])
(244, 95<<237^1, [6, 2])
(245, 67<<238^1, [6, 2])
(246, 65<<239^1, [6, 2])
(247, 533<<237^1, [6, 2])
(248, 17<<243^1, [6, 2])
(249, 291<<240^1, [10, 2])
(250, 29<<245^1, [6, 2])
(251, 35<<245^1, [6, 2])
(252, 177<<244^1, [10, 2])
(253, 203<<245^1, [6, 2])
(254, 75<<247^1, [26, 2])
(255, 167<<247^1, [6, 2])
(256, 207<<248^1, [10, 2])
(257, 39<<251^1, [10, 2])
(258, 43<<252^1, [6, 2])
(259, 313<<250^1, [6, 2])
(260, 37<<254^1, [6, 2])
(261, 135<<253^1, [14, 2])
(262, 633<<252^1, [34, 2])
(263, 51<<257^1, [10, 2])
(264, 65<<257^1, [6, 2])
(265, 239<<257^1, [6, 2])
(266, 147<<258^1, [22, 2])
(267, 91<<260^1, [6, 2])
(268, 55<<262^1, [6, 2])
(269, 51<<263^1, [22, 2])
(270, 159<<262^1, [10, 2])
(271, 121<<264^1, [6, 2])
(272, 17<<267^1, [6, 2])
(273, 25<<268^1, [6, 2])
(274, 81<<267^1, [14, 2])
(275, 123<<268^1, [22, 2])
(276, 175<<268^1, [6, 2])
(277, 99<<270^1, [10, 2])
(278, 3<<276^1, [22, 2])
(279, 177<<271^1, [10, 3])
(280, 27<<275^1, [10, 2])
(281, 21<<276^1, [10, 3])
(282, 261<<273^1, [10, 2])
(283, 147<<275^1, [10, 2])
(284, 81<<277^1, [10, 2])
(285, 297<<276^1, [10, 2])
(286, 63<<280^1, [26, 2])
(287, 231<<279^1, [34, 2])
(288, 125<<281^1, [6, 2])
(289, 357<<280^1, [10, 2])
(290, 135<<282^1, [14, 2])
(291, 325<<282^1, [6, 2])
(292, 37<<286^1, [6, 2])
(293, 7<<290^1, [3, 3])
(294, 77<<287^1, [6, 2])
(295, 33<<289^1, [10, 2])
(296, 37<<290^1, [6, 2])
(297, 59<<291^1, [6, 2])
(298, 107<<291^1, [6, 2])
(299, 141<<291^1, [22, 2])
(300, 287<<291^1, [6, 2])
(301, 15<<297^1, [22, 2])
(302, 177<<294^1, [14, 2])
(303, 81<<296^1, [10, 2])
(304, 207<<296^1, [10, 2])
(305, 93<<298^1, [10, 2])
(306, 71<<299^1, [6, 2])
(307, 177<<299^1, [10, 2])
(308, 389<<299^1, [6, 2])
(309, 267<<300^1, [10, 2])
(310, 107<<303^1, [6, 2])
(311, 141<<303^1, [22, 2])
(312, 13<<308^1, [6, 2])
(313, 239<<305^1, [6, 2])
(314, 65<<307^1, [6, 2])
(315, 231<<307^1, [26, 2])
(316, 285<<307^1, [34, 2])
(317, 957<<307^1, [10, 2])
(318, 21<<313^1, [10, 2])
(319, 75<<312^1, [14, 2])
(320, 13<<316^1, [6, 2])
(321, 153<<313^1, [10, 2])
(322, 207<<314^1, [14, 2])
(323, 7<<320^1, [3, 5])
(324, 559<<314^1, [6, 2])
(325, 109<<318^1, [6, 2])
(326, 99<<319^1, [10, 2])
(327, 51<<321^1, [10, 2])
(328, 177<<320^1, [10, 2])
(329, 457<<320^1, [6, 2])
(330, 625<<320^1, [6, 2])
(331, 81<<324^1, [10, 2])
(332, 63<<326^1, [10, 2])
(333, 35<<327^1, [6, 2])
(334, 561<<324^1, [10, 2])
(335, 469<<326^1, [6, 2])
(336, 297<<327^1, [10, 2])
(337, 261<<328^1, [10, 2])
(338, 125<<331^1, [6, 2])
(339, 45<<333^1, [26, 2])
(340, 63<<334^1, [10, 2])
(341, 143<<333^1, [6, 2])
(342, 177<<334^1, [14, 2])
(343, 15<<339^1, [38, 2])
(344, 133<<336^1, [6, 2])
(345, 25<<340^1, [6, 2])
(346, 23<<341^1, [6, 2])
(347, 159<<339^1, [10, 2])
(348, 559<<338^1, [6, 2])
(349, 67<<342^1, [6, 2])
(350, 55<<344^1, [6, 2])
(351, 81<<344^1, [10, 2])
(352, 17<<347^1, [6, 2])
(353, 301<<344^1, [6, 2])
(354, 423<<345^1, [10, 2])
(355, 3<<353^1, [10, 2])
(356, 201<<348^1, [10, 2])
(357, 941<<347^1, [6, 2])
(358, 65<<351^1, [6, 2])
(359, 161<<351^1, [6, 2])
(360, 165<<352^1, [26, 2])
(361, 35<<355^1, [6, 2])
(362, 55<<356^1, [6, 2])
(363, 231<<355^1, [26, 2])
(364, 253<<356^1, [6, 2])
(365, 265<<356^1, [6, 2])
(366, 261<<357^1, [10, 2])
(367, 189<<359^1, [10, 2])
(368, 281<<359^1, [6, 2])
(369, 131<<361^1, [6, 2])
(370, 9<<366^1, [10, 2])
(371, 19<<366^1, [6, 2])
(372, 113<<365^1, [6, 2])
(373, 195<<365^1, [46, 2])
(374, 993<<364^1, [14, 2])
(375, 555<<365^1, [22, 2])
(376, 39<<370^1, [10, 2])
(377, 171<<369^1, [10, 2])
(378, 45<<372^1, [26, 2])
(379, 197<<371^1, [6, 2])
(380, 83<<373^1, [6, 2])
(381, 39<<375^1, [10, 2])
(382, 195<<374^1, [22, 2])
(383, 725<<373^1, [6, 2])
(384, 285<<375^1, [14, 2])
(385, 41<<379^1, [6, 2])
(386, 23<<381^1, [6, 2])
(387, 159<<379^1, [10, 2])
(388, 211<<380^1, [6, 2])
(389, 67<<382^1, [6, 2])
(390, 235<<382^1, [6, 2])
(391, 735<<381^1, [22, 2])
(392, 485<<383^1, [6, 2])
(393, 7<<390^1, [6, 2])
(394, 23<<389^1, [6, 2])
(395, 39<<389^1, [14, 2])
(396, 29<<391^1, [6, 2])
(397, 183<<389^1, [10, 2])
(398, 55<<392^1, [6, 2])
(399, 105<<392^1, [58, 2])
(400, 347<<391^1, [6, 2])
(401, 143<<393^1, [6, 2])
(402, 21<<397^1, [10, 2])
(403, 81<<396^1, [10, 2])
(404, 57<<398^1, [14, 2])
(405, 93<<398^1, [10, 2])
(406, 1095<<395^1, [14, 2])
(407, 97<<400^1, [6, 2])
(408, 613<<398^1, [6, 2])
(409, 585<<399^1, [14, 2])
(410, 3<<408^1, [22, 2])
(411, 465<<402^1, [22, 2])
(412, 27<<407^1, [10, 2])
(413, 39<<407^1, [10, 2])
(414, 169<<406^1, [6, 2])
(415, 861<<405^1, [10, 2])
(416, 63<<410^1, [10, 2])
(417, 99<<410^1, [10, 2])
(418, 33<<412^1, [38, 2])
(419, 403<<410^1, [6, 2])
(420, 105<<413^1, [26, 2])
(421, 31<<416^1, [6, 2])
(422, 129<<414^1, [10, 2])
(423, 327<<414^1, [14, 2])
(424, 71<<417^1, [6, 2])
(425, 291<<416^1, [10, 2])
(426, 877<<416^1, [6, 2])
(427, 179<<419^1, [6, 2])
(428, 81<<421^1, [10, 2])
(429, 1059<<418^1, [10, 2])
(430, 393<<421^1, [10, 2])
(431, 933<<421^1, [10, 2])
(432, 843<<422^1, [10, 2])
(433, 765<<423^1, [14, 2])
(434, 565<<424^1, [6, 2])
(435, 7<<432^1, [6, 2])
(436, 1505<<425^1, [6, 2])
(437, 75<<430^1, [22, 2])
(438, 225<<430^1, [14, 2])
(439, 953<<429^1, [6, 2])
(440, 3<<438^1, [10, 2])
(441, 105<<434^1, [26, 2])
(442, 193<<434^1, [6, 2])
(443, 81<<436^1, [10, 2])
(444, 745<<434^1, [6, 2])
(445, 155<<437^1, [6, 2])
(446, 419<<437^1, [6, 2])
(447, 177<<439^1, [10, 2])
(448, 223<<440^1, [6, 2])
(449, 45<<443^1, [14, 2])
(450, 177<<442^1, [14, 2])
(451, 683<<441^1, [6, 2])
(452, 261<<443^1, [22, 2])
(453, 25<<448^1, [6, 2])
(454, 81<<447^1, [14, 2])
(455, 155<<447^1, [6, 2])
(456, 955<<446^1, [6, 2])
(457, 333<<448^1, [22, 2])
(458, 1181<<447^1, [6, 2])
(459, 33<<453^1, [10, 2])
(460, 27<<455^1, [10, 3])
(461, 67<<454^1, [6, 2])
(462, 57<<456^1, [10, 2])
(463, 115<<456^1, [6, 2])
(464, 449<<455^1, [6, 2])
(465, 611<<455^1, [6, 2])
(466, 585<<456^1, [14, 2])
(467, 135<<459^1, [14, 2])
(468, 669<<458^1, [10, 2])
(469, 313<<460^1, [6, 2])
(470, 45<<464^1, [14, 2])
(471, 539<<461^1, [6, 2])
(472, 183<<464^1, [14, 2])
(473, 131<<465^1, [6, 2])
(474, 323<<465^1, [6, 2])
(475, 137<<467^1, [6, 2])
(476, 17<<471^1, [6, 2])
(477, 67<<470^1, [6, 2])
(478, 293<<469^1, [6, 2])
(479, 551<<469^1, [6, 2])
(480, 595<<470^1, [6, 2])
(481, 445<<472^1, [6, 2])
(482, 249<<474^1, [10, 2])
(483, 123<<476^1, [14, 2])
(484, 459<<475^1, [10, 2])
(485, 447<<476^1, [10, 2])
(486, 65<<479^1, [6, 2])
(487, 819<<477^1, [34, 2])
(488, 261<<479^1, [26, 2])
(489, 115<<482^1, [6, 2])
(490, 77<<483^1, [6, 2])
(491, 53<<485^1, [6, 2])
(492, 181<<484^1, [6, 2])
(493, 669<<483^1, [10, 2])
(494, 253<<486^1, [6, 2])
(495, 283<<486^1, [6, 2])
(496, 141<<488^1, [10, 2])
(497, 105<<490^1, [22, 2])
(498, 125<<491^1, [6, 2])
(499, 873<<489^1, [10, 2])
(500, 1101<<489^1, [10, 2])
(501, 239<<493^1, [6, 2])
(502, 299<<493^1, [6, 2])
(503, 433<<494^1, [6, 2])
(504, 1451<<493^1, [6, 2])
(505, 185<<497^1, [6, 2])
(506, 625<<496^1, [6, 2])
(507, 295<<498^1, [6, 2])
(508, 57<<502^1, [14, 2])
(509, 629<<499^1, [6, 2])
(510, 711<<500^1, [10, 2])
(511, 127<<504^1, [6, 2])
(512, 2401<<500^1, [6, 2])
(513, 519<<503^1, [10, 2])
(514, 745<<504^1, [6, 2])
(515, 755<<505^1, [6, 2])
(516, 113<<509^1, [6, 2])
(517, 267<<508^1, [10, 2])
(518, 249<<510^1, [10, 2])
(519, 783<<509^1, [10, 2])
(520, 101<<513^1, [6, 2])
(521, 15<<517^1, [14, 2])
(522, 69<<515^1, [10, 2])
(523, 921<<513^1, [10, 2])
(524, 39<<518^1, [10, 2])
(525, 87<<518^1, [14, 2])
(526, 15<<522^1, [22, 2])
(527, 417<<518^1, [14, 2])
(528, 371<<519^1, [6, 2])
(529, 233<<521^1, [6, 2])
(530, 169<<522^1, [6, 2])
(531, 33<<525^1, [10, 2])
(532, 823<<522^1, [6, 2])
(533, 367<<524^1, [6, 2])
(534, 189<<526^1, [10, 2])
(535, 873<<525^1, [10, 2])
(536, 3<<534^1, [10, 2])
(537, 131<<529^1, [6, 2])
(538, 813<<528^1, [26, 2])
(539, 277<<530^1, [6, 2])
(540, 95<<533^1, [6, 2])
(541, 959<<531^1, [6, 2])
(542, 169<<534^1, [6, 2])
(543, 141<<535^1, [14, 2])
(544, 163<<536^1, [6, 2])
(545, 79<<538^1, [6, 2])
(546, 81<<539^1, [14, 2])
(547, 385<<538^1, [6, 2])
(548, 193<<540^1, [6, 2])
(549, 465<<540^1, [26, 2])
(550, 1229<<539^1, [6, 2])
(551, 545<<541^1, [6, 2])
(552, 151<<544^1, [6, 2])
(553, 255<<545^1, [14, 2])
(554, 1457<<543^1, [6, 2])
(555, 225<<547^1, [14, 3])
(556, 435<<547^1, [14, 2])
(557, 677<<547^1, [6, 2])
(558, 637<<548^1, [6, 2])
(559, 25<<554^1, [6, 2])
(560, 65<<553^1, [6, 2])
(561, 645<<551^1, [14, 2])
(562, 441<<553^1, [10, 2])
(563, 141<<555^1, [26, 2])
(564, 141<<556^1, [10, 2])
(565, 127<<558^1, [3, 3])
(566, 77<<559^1, [6, 2])
(567, 393<<558^1, [10, 2])
(568, 151<<560^1, [6, 2])
(569, 363<<560^1, [26, 2])
(570, 145<<562^1, [6, 2])
(571, 319<<562^1, [6, 2])
(572, 507<<563^1, [10, 2])
(573, 731<<563^1, [6, 2])
(574, 107<<567^1, [6, 2])
(575, 741<<565^1, [10, 2])
(576, 285<<567^1, [14, 2])
(577, 361<<568^1, [6, 2])
(578, 345<<569^1, [34, 2])
(579, 337<<570^1, [6, 2])
(580, 627<<570^1, [14, 2])
(581, 705<<571^1, [26, 2])
(582, 765<<572^1, [38, 2])
(583, 171<<575^1, [14, 2])
(584, 81<<577^1, [10, 2])
(585, 327<<576^1, [10, 2])
(586, 1061<<575^1, [6, 2])
(587, 319<<578^1, [6, 2])
(588, 125<<581^1, [6, 2])
(589, 47<<583^1, [6, 2])
(590, 363<<581^1, [10, 2])
(591, 427<<582^1, [6, 2])
(592, 567<<582^1, [26, 2])
(593, 215<<585^1, [6, 2])
(594, 531<<584^1, [10, 2])
(595, 519<<585^1, [22, 2])
(596, 89<<589^1, [6, 2])
(597, 161<<589^1, [6, 2])
(598, 555<<588^1, [14, 2])
(599, 81<<592^1, [10, 2])
(600, 49<<594^1, [6, 2])
(601, 233<<593^1, [6, 2])
(602, 961<<592^1, [6, 2])
(603, 245<<595^1, [6, 2])
(604, 183<<596^1, [14, 2])
(605, 67<<598^1, [6, 2])
(606, 955<<596^1, [6, 2])
(607, 659<<597^1, [6, 2])
(608, 133<<600^1, [6, 2])
(609, 87<<602^1, [14, 2])
(610, 1469<<599^1, [6, 2])
(611, 319<<602^1, [6, 2])
(612, 207<<604^1, [10, 2])
(613, 701<<603^1, [6, 2])
(614, 263<<605^1, [6, 2])
(615, 581<<605^1, [6, 2])
(616, 347<<607^1, [6, 2])
(617, 189<<609^1, [22, 2])
(618, 305<<609^1, [6, 2])
(619, 7<<616^1, [6, 2])
(620, 275<<611^1, [6, 2])
(621, 267<<612^1, [10, 2])
(622, 655<<612^1, [6, 2])
(623, 103<<616^1, [6, 2])
(624, 401<<615^1, [6, 2])
(625, 265<<616^1, [6, 2])
(626, 783<<616^1, [14, 2])
(627, 611<<617^1, [6, 2])
(628, 95<<621^1, [6, 2])
(629, 103<<622^1, [6, 2])
(630, 345<<621^1, [14, 2])
(631, 85<<624^1, [6, 2])
(632, 63<<626^1, [10, 2])
(633, 231<<625^1, [10, 2])
(634, 345<<625^1, [14, 2])
(635, 621<<625^1, [10, 2])
(636, 449<<627^1, [6, 2])
(637, 947<<627^1, [6, 2])
(638, 99<<631^1, [10, 2])
(639, 725<<629^1, [6, 2])
(640, 101<<633^1, [6, 2])
(641, 179<<633^1, [6, 2])
(642, 865<<632^1, [6, 2])
(643, 621<<633^1, [10, 2])
(644, 145<<636^1, [6, 2])
(645, 203<<637^1, [6, 2])
(646, 955<<636^1, [6, 2])
(647, 405<<638^1, [22, 2])
(648, 141<<640^1, [10, 2])
(649, 221<<641^1, [6, 2])
(650, 117<<643^1, [10, 2])
(651, 1063<<640^1, [6, 2])
(652, 619<<642^1, [6, 2])
(653, 1065<<642^1, [26, 2])
(654, 23<<649^1, [6, 2])
(655, 237<<647^1, [10, 2])
(656, 275<<647^1, [6, 2])
(657, 155<<649^1, [6, 2])
(658, 15<<654^1, [22, 2])
(659, 97<<652^1, [6, 2])
(660, 1029<<649^1, [26, 2])
(661, 471<<652^1, [10, 2])
(662, 77<<655^1, [6, 2])
(663, 735<<653^1, [22, 2])
(664, 387<<655^1, [10, 2])
(665, 183<<657^1, [10, 2])
(666, 1247<<655^1, [6, 2])
(667, 9<<663^1, [10, 2])
(668, 95<<661^1, [6, 2])
(669, 25<<664^1, [6, 2])
(670, 667<<660^1, [6, 2])
(671, 357<<662^1, [22, 2])
(672, 495<<663^1, [14, 2])
(673, 179<<665^1, [6, 2])
(674, 77<<667^1, [6, 2])
(675, 375<<666^1, [14, 2])
(676, 525<<666^1, [22, 2])
(677, 747<<667^1, [10, 2])
(678, 393<<669^1, [10, 2])
(679, 1953<<668^1, [22, 2])
(680, 113<<673^1, [6, 2])
(681, 515<<671^1, [6, 2])
(682, 75<<675^1, [14, 2])
(683, 111<<676^1, [10, 2])
(684, 165<<676^1, [26, 2])
(685, 155<<677^1, [6, 2])
(686, 255<<678^1, [22, 2])
(687, 423<<678^1, [10, 2])
(688, 347<<679^1, [6, 2])
(689, 381<<680^1, [10, 2])
(690, 567<<680^1, [10, 2])
(691, 1171<<680^1, [6, 2])
(692, 1235<<681^1, [6, 2])
(693, 93<<686^1, [10, 2])
(694, 633<<684^1, [34, 2])
(695, 357<<686^1, [22, 2])
(696, 1311<<685^1, [10, 2])
(697, 617<<687^1, [6, 2])
(698, 159<<690^1, [10, 2])
(699, 63<<693^1, [10, 2])
(700, 595<<690^1, [6, 2])
(701, 51<<695^1, [26, 2])
(702, 1601<<691^1, [6, 2])
(703, 91<<696^1, [6, 2])
(704, 381<<695^1, [14, 2])
(705, 231<<697^1, [10, 2])
(706, 607<<696^1, [6, 2])
(707, 1555<<696^1, [6, 2])
(708, 223<<700^1, [6, 2])
(709, 447<<700^1, [10, 2])
(710, 531<<700^1, [10, 2])
(711, 357<<702^1, [22, 2])
(712, 71<<705^1, [6, 2])
(713, 837<<703^1, [10, 2])
(714, 455<<705^1, [6, 2])
(715, 185<<707^1, [6, 2])
(716, 193<<708^1, [6, 2])
(717, 647<<707^1, [6, 2])
(718, 37<<712^1, [6, 2])
